Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
         -3.2,    0.03237107, ,          -2.6,     0.1155119, ,          -2.6,     0.1118322, ,          -2.2,      0.163472, ,          -3.4,   -0.00549214, ,          -2.4,     0.1299791, ,          -3.4,  -0.004897704, ,            -2,     0.1781751, ,            -3,    0.04773688, ,          -2.6,    0.09923202, , 
           -3,    0.05758593, ,          -2.4,     0.1409699, ,          -2.4,     0.1410082, ,            -2,     0.1921853, ,          -3.2,    0.02178367, ,          -2.2,     0.1565398, ,          -3.2,    0.02183633, ,          -1.8,     0.2036856, ,          -2.8,      0.073965, ,          -2.4,     0.1245618, , 
         -2.8,    0.08284633, ,          -2.2,     0.1660567, ,          -2.2,     0.1687558, ,          -1.8,     0.2194876, ,            -3,    0.04917942, ,            -2,      0.183472, ,            -3,    0.04844859, ,          -1.6,     0.2296635, ,          -2.6,    0.09954879, ,          -2.2,     0.1496554, , 
         -2.6,     0.1081314, ,            -2,     0.1910368, ,            -2,     0.1945582, ,          -1.6,      0.245954, ,          -2.8,    0.07647899, ,          -1.8,     0.2085358, ,          -2.8,    0.07480621, ,          -1.4,     0.2560167, ,          -2.4,     0.1251397, ,            -2,     0.1758647, , 
         -2.4,     0.1330992, ,          -1.8,     0.2161751, ,          -1.8,       0.21998, ,          -1.4,     0.2704426, ,          -2.6,     0.1038947, ,          -1.6,     0.2344112, ,          -2.4,     0.1279752, ,          -1.2,     0.2821868, ,          -2.2,     0.1510442, ,          -1.8,     0.2019822, , 
         -2.2,     0.1582088, ,          -1.6,     0.2409929, ,          -1.6,     0.2452494, ,          -1.2,     0.2943918, ,          -2.4,     0.1310126, ,          -1.2,     0.2890555, ,          -2.2,     0.1547432, ,            -1,     0.3093766, ,            -2,     0.1763927, ,          -1.4,     0.2543797, , 
           -2,     0.1830631, ,          -1.4,     0.2660201, ,          -1.4,      0.270069, ,            -1,     0.3181811, ,          -2.2,      0.159177, ,            -1,      0.315596, ,            -2,     0.1802107, ,          -0.8,     0.3362917, ,          -1.8,     0.2029328, ,          -1.2,     0.2801102, , 
         -1.8,     0.2081129, ,          -1.2,     0.2905768, ,          -1.2,     0.2944233, ,          -0.8,     0.3417617, ,            -2,     0.1870593, ,          -0.8,      0.341597, ,          -1.8,     0.2051665, ,          -0.6,      0.363551, ,          -1.4,     0.2547501, ,            -1,     0.3062823, , 
         -1.6,      0.232781, ,            -1,     0.3152722, ,            -1,     0.3187303, ,          -0.6,     0.3653755, ,          -1.6,     0.2404184, ,          -0.6,      0.366222, ,          -1.6,     0.2313264, ,          -0.4,     0.3891248, ,          -1.2,     0.2811137, ,          -0.8,     0.3325605, , 
         -1.4,     0.2576077, ,          -0.8,     0.3397751, ,          -0.8,     0.3425916, ,          -0.4,     0.3891463, ,          -1.4,     0.2664255, ,          -0.4,     0.3908385, ,          -1.4,     0.2575904, ,          -0.2,     0.4161866, ,            -1,     0.3072604, ,          -0.6,     0.3595713, , 
         -1.2,     0.2824335, ,          -0.6,     0.3643244, ,          -0.6,     0.3659763, ,          -0.2,     0.4125626, ,          -1.2,     0.2928801, ,          -0.2,     0.4155907, ,          -1.2,     0.2848516, ,             0,     0.4420634, ,          -0.8,     0.3341963, ,          -0.4,     0.3864508, , 
           -1,     0.3069875, ,          -0.4,     0.3885743, ,          -0.4,     0.3886284, ,             0,     0.4364983, ,            -1,     0.3174283, ,             0,     0.4398656, ,            -1,     0.3125647, ,           0.2,     0.4669984, ,          -0.6,     0.3611139, ,             0,     0.4396289, , 
         -0.8,     0.3315814, ,          -0.2,     0.4121793, ,          -0.2,     0.4113793, ,           0.2,     0.4601207, ,          -0.8,     0.3418379, ,           0.2,     0.4641511, ,          -0.8,     0.3390018, ,           0.4,     0.4914594, ,          -0.4,     0.3881154, ,           0.2,     0.4678252, , 
         -0.6,     0.3563055, ,             0,     0.4351337, ,             0,     0.4343755, ,           0.4,      0.483776, ,          -0.6,     0.3659176, ,           0.4,     0.4885913, ,          -0.6,     0.3651836, ,           0.6,     0.5159835, ,          -0.2,     0.4141929, ,           0.6,     0.5178121, , 
         -0.4,     0.3805654, ,           0.2,      0.456797, ,           0.2,     0.4575175, ,           0.6,     0.5075647, ,          -0.4,      0.390172, ,           0.6,     0.5126859, ,          -0.4,     0.3910596, ,           0.8,     0.5402802, ,             0,     0.4420116, ,           0.8,     0.5424905, , 
         -0.2,     0.4046834, ,           0.4,     0.4782842, ,           0.4,     0.4808502, ,           0.8,     0.5314592, ,          -0.2,     0.4143763, ,           0.8,     0.5369209, ,          -0.2,      0.416165, ,             1,     0.5644947, ,           0.2,     0.4677433, ,             1,     0.5669273, , 
            0,     0.4287903, ,           0.6,     0.5007838, ,           0.6,     0.5044662, ,             1,     0.5554844, ,             0,      0.438415, ,             1,      0.561016, ,             0,     0.4412123, ,           1.2,     0.5886167, ,           0.4,     0.4925239, ,           1.2,     0.5911555, , 
          0.2,     0.4529989, ,           0.8,     0.5235211, ,           0.8,     0.5279182, ,           1.2,     0.5792423, ,           0.2,     0.4622563, ,           1.2,     0.5849662, ,           0.2,     0.4658337, ,           1.4,     0.6126352, ,           0.6,     0.5168914, ,           1.4,     0.6155499, , 
          0.6,     0.5007693, ,             1,     0.5463303, ,             1,      0.551328, ,           1.4,     0.6030073, ,           0.4,      0.486409, ,           1.4,     0.6088015, ,           0.4,     0.4901668, ,           1.6,      0.636749, ,           0.8,      0.541452, ,           1.6,     0.6399512, , 
          0.8,     0.5237174, ,           1.2,     0.5693053, ,           1.2,     0.5748494, ,           1.6,     0.6266932, ,           0.6,     0.5105947, ,           1.6,     0.6326552, ,           0.6,     0.5146415, ,           1.8,     0.6611198, ,             1,      0.565876, ,           1.8,     0.6639245, , 
            1,     0.5453938, ,           1.4,     0.5920786, ,           1.4,      0.598556, ,           1.8,     0.6504052, ,           0.8,     0.5345211, ,           1.8,       0.65657, ,           0.8,     0.5388175, ,             2,     0.6852655, ,           1.2,     0.5900683, ,             2,     0.6880168, , 
          1.2,     0.5653706, ,           1.6,     0.6151687, ,           1.6,     0.6220264, ,             2,     0.6741201, ,             1,     0.5583868, ,             2,     0.6805286, ,           1.2,     0.5868854, ,           2.2,     0.7091024, ,           1.4,     0.6142224, ,           2.2,     0.7119248, , 
          1.4,     0.5855147, ,           1.8,     0.6382565, ,           1.8,     0.6454864, ,           2.4,     0.7214091, ,           1.2,     0.5823874, ,           2.2,     0.7047427, ,           1.4,     0.6109815, ,           2.4,     0.7329659, ,           1.6,     0.6384747, ,           2.4,     0.7361077, , 
