Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
         -2.8,    -0.3094076, ,          -3.6,    -0.4052505, ,          -3.6,    -0.4082734, ,          -3.8,    -0.4327701, ,          -3.2,    -0.3651892, ,          -0.2,   -0.02265319, ,          -0.6,   -0.06791511, ,          -2.2,    -0.2512195, ,          -3.4,    -0.3905343, ,          -3.8,    -0.4369812, , 
         -2.6,    -0.2878284, ,          -3.4,    -0.3826354, ,          -3.4,    -0.3853827, ,          -3.6,    -0.4099269, ,            -3,    -0.3421797, ,             0, -5.561362e-09, ,          -0.4,   -0.04529068, ,            -2,    -0.2280104, ,          -3.2,    -0.3673991, ,          -3.6,    -0.4138893, , 
         -2.4,    -0.2664147, ,          -3.2,    -0.3599226, ,          -3.2,     -0.362584, ,          -3.4,    -0.3870545, ,          -2.8,    -0.3191612, ,           0.2,     0.0226533, ,          -0.2,    -0.0227158, ,          -1.8,    -0.2048951, ,            -3,    -0.3442097, ,          -3.4,    -0.3908305, , 
         -2.2,    -0.2451917, ,            -3,     -0.337295, ,            -3,    -0.3397216, ,          -3.2,    -0.3641082, ,          -2.6,    -0.2961187, ,           0.4,    0.04497966, ,             0, -2.443397e-10, ,          -1.6,    -0.1819285, ,          -2.8,    -0.3210631, ,          -3.2,    -0.3677334, , 
           -2,    -0.2241994, ,          -2.8,     -0.314645, ,          -2.8,    -0.3169359, ,            -3,    -0.3412168, ,          -2.4,     -0.273039, ,           0.6,    0.06722225, ,           0.2,    0.02271589, ,          -1.4,    -0.1588605, ,          -2.6,    -0.2979229, ,            -3,    -0.3445458, , 
         -1.8,    -0.2038864, ,          -2.6,    -0.2921411, ,          -2.4,    -0.2713548, ,          -2.8,     -0.318273, ,          -2.2,    -0.2499755, ,           0.8,     0.0894745, ,           0.4,     0.0452911, ,          -1.2,    -0.1357879, ,          -2.4,    -0.2746848, ,          -2.8,    -0.3213611, , 
         -1.6,    -0.1825903, ,          -2.4,    -0.2698077, ,          -2.2,     -0.248708, ,          -2.6,    -0.2953148, ,            -2,    -0.2269336, ,             1,     0.1122621, ,           0.6,    0.06791608, ,            -1,    -0.1133724, ,          -2.2,    -0.2515127, ,          -2.6,    -0.2982116, , 
         -1.4,    -0.1600172, ,          -2.2,    -0.2475863, ,            -2,    -0.2261473, ,          -2.4,    -0.2723741, ,          -1.8,    -0.2041421, ,           1.2,     0.1352467, ,           0.8,    0.09021991, ,          -0.6,    -0.0683294, ,            -2,    -0.2283175, ,          -2.4,     -0.275003, , 
         -1.2,    -0.1373865, ,            -2,    -0.2252585, ,          -1.8,    -0.2033352, ,          -2.2,    -0.2493838, ,          -1.6,    -0.1811225, ,           1.6,     0.1814483, ,             1,     0.1126163, ,          -0.4,   -0.04550301, ,          -1.8,    -0.2051743, ,          -2.2,    -0.2517803, , 
           -1,    -0.1146468, ,          -1.8,    -0.2029012, ,          -1.6,    -0.1806093, ,            -2,    -0.2265686, ,          -1.4,    -0.1581347, ,           1.8,     0.2043847, ,           1.2,     0.1354673, ,          -0.2,   -0.02274178, ,          -1.6,      -0.18207, ,            -2,    -0.2286347, , 
         -0.8,   -0.09168593, ,          -1.6,    -0.1806461, ,          -1.4,    -0.1578818, ,          -1.8,      -0.20378, ,          -1.2,    -0.1350981, ,             2,     0.2273856, ,           1.4,     0.1585706, ,             0, -1.612397e-09, ,          -1.4,    -0.1591428, ,          -1.8,    -0.2054654, , 
         -0.6,   -0.06863567, ,          -1.4,     -0.158415, ,          -1.2,    -0.1351452, ,          -1.6,    -0.1808306, ,            -1,    -0.1121213, ,           2.2,     0.2504587, ,           1.6,     0.1817289, ,           0.2,    0.02274188, ,          -1.2,    -0.1364702, ,          -1.6,    -0.1823601, , 
         -0.4,    -0.0457228, ,          -1.2,    -0.1364202, ,            -1,    -0.1125965, ,          -1.4,    -0.1579432, ,          -0.8,   -0.08920188, ,           2.6,     0.2967048, ,           1.8,     0.2046076, ,           0.4,     0.0455034, ,            -1,    -0.1138956, ,          -1.4,    -0.1595844, , 
         -0.2,    -0.0227999, ,            -1,    -0.1148264, ,          -0.8,   -0.09020854, ,          -1.2,    -0.1350342, ,          -0.6,    -0.0664498, ,           2.8,     0.3197975, ,             2,     0.2277084, ,           0.6,    0.06833024, ,          -0.8,   -0.09133697, ,          -1.2,    -0.1371115, , 
            0, -1.205797e-10, ,          -0.8,   -0.09267802, ,          -0.6,   -0.06801035, ,            -1,    -0.1121219, ,          -0.4,   -0.04458477, ,             3,     0.3429473, ,           2.2,     0.2508432, ,             1,      0.113375, ,          -0.6,   -0.06855846, ,          -0.8,   -0.09165929, , 
          0.2,    0.02279994, ,          -0.6,    -0.0695714, ,          -0.4,   -0.04563707, ,          -0.8,   -0.08926932, ,          -0.2,   -0.02238809, ,           3.2,     0.3659157, ,           2.4,      0.274035, ,           1.2,     0.1357918, ,          -0.4,   -0.04566818, ,          -0.6,    -0.0687279, , 
          0.4,    0.04572298, ,          -0.4,   -0.04638717, ,             0, -2.925193e-11, ,          -0.6,   -0.06676655, ,             0,  -2.31377e-09, ,           3.4,     0.3889272, ,           2.6,     0.2971402, ,           1.4,     0.1588655, ,          -0.2,   -0.02279763, ,          -0.4,   -0.04582731, , 
          0.6,    0.06863608, ,          -0.2,   -0.02318484, ,           0.4,    0.04563738, ,          -0.4,   -0.04433174, ,           0.2,    0.02238821, ,           3.6,     0.4119696, ,           2.8,     0.3203341, ,           1.6,     0.1819345, ,             0, -3.137517e-09, ,          -0.2,   -0.02282153, , 
          0.8,    0.09168664, ,             0,  4.851756e-11, ,           0.6,    0.06801116, ,          -0.2,   -0.02198317, ,           0.4,    0.04458531, ,           3.8,     0.4349672, ,           3.2,     0.3664987, ,           1.8,     0.2049025, ,           0.2,    0.02279772, ,             0, -2.721355e-10, , 
            1,     0.1146479, ,           0.2,    0.02318488, ,           0.8,    0.09021015, ,             0, -5.984027e-11, ,           0.6,    0.06645116, ,           4.2,     0.4807042, ,           3.4,     0.3896102, ,             2,     0.2280191, ,           0.4,    0.04566852, ,           0.2,    0.02282162, , 
          1.2,     0.1373881, ,           0.4,    0.04638734, ,           1.2,     0.1351489, ,           0.2,    0.02198333, ,           0.8,    0.08920404, ,           4.4,       0.50363, ,           3.6,     0.4126505, ,           2.2,     0.2512295, ,           0.6,    0.06855922, ,           0.4,    0.04582762, , 
          1.4,     0.1600195, ,           0.6,    0.06957179, ,           1.6,     0.1806154, ,           0.4,    0.04433231, ,             1,     0.1121243, ,           4.6,     0.5265012, ,           3.8,     0.4355932, ,           2.4,      0.274375, ,           0.8,    0.09133833, ,           0.6,    0.06872861, , 
          1.6,     0.1825934, ,           0.8,    0.09267873, ,           1.8,     0.2033426, ,           0.6,    0.06676777, ,           1.2,     0.1351022, ,           4.8,     0.5489804, ,             4,     0.4585112, ,           2.6,     0.2975661, ,             1,      0.113898, ,           0.8,    0.09166053, , 
          1.8,     0.2038911, ,             1,     0.1148279, ,             2,     0.2261561, ,           0.8,    0.08927136, ,           1.4,     0.1581398, ,             5,     0.5718029, ,           4.2,     0.4814917, ,           2.8,     0.3207577, ,           1.2,     0.1364737, ,           1.2,     0.1371146, , 
            2,     0.2242066, ,           1.2,     0.1364229, ,           2.2,     0.2487186, ,             1,     0.1121248, ,           1.6,     0.1811287, ,           5.2,     0.5944612, ,           4.6,     0.5270185, ,             3,     0.3438616, ,           1.4,     0.1591476, ,           1.4,     0.1595889, , 
          2.2,     0.2452015, ,           1.4,     0.1584191, ,           2.4,     0.2713673, ,           1.2,     0.1350381, ,           1.8,     0.2041496, ,           5.4,     0.6170232, ,           4.8,     0.5498084, ,           3.2,     0.3669904, ,           1.6,     0.1820761, ,           1.6,      0.182366, , 
          2.4,     0.2664269, ,           1.6,     0.1806517, ,           2.8,      0.316952, ,           1.4,     0.1579482, ,             2,     0.2269426, ,           5.8,     0.6616529, ,             5,     0.5726412, ,           3.4,     0.3901447, ,           1.8,     0.2051816, ,           1.8,     0.2054725, , 
          2.6,     0.2878433, ,           1.8,     0.2029083, ,             3,     0.3397398, ,           1.6,     0.1808368, ,           2.2,     0.2499859, ,             6,     0.6839563, ,           5.2,     0.5953102, ,           3.6,     0.4131603, ,             2,      0.228326, ,             2,      0.228643, , 
          2.8,     0.3094253, ,             2,     0.2252674, ,           3.2,     0.3626041, ,           1.8,     0.2037875, ,           2.4,     0.2730508, ,           6.2,     0.7063106, ,           5.6,     0.6404813, ,           3.8,      0.436096, ,           2.2,     0.2515225, ,           2.2,       0.25179, , 
          3.2,     0.3523021, ,           2.2,      0.247597, ,           3.4,     0.3854049, ,             2,     0.2265776, ,           2.6,     0.2961321, ,           6.4,      0.728584, ,           5.8,     0.6630874, ,             4,     0.4591172, ,           2.4,      0.274696, ,           2.4,     0.2750139, , 
