Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , 
          0.6,    0.06994435, ,           1.2,     0.1386129, ,           0.8,    0.09085915, ,           1.6,     0.1811886, ,           4.2,     0.4825049, ,           6.8,     0.7809459, ,           4.2,      0.484411, ,           2.6,     0.2986804, ,           1.4,     0.1597905, , 
          0.8,    0.09332784, ,           1.4,     0.1605709, ,             1,     0.1134742, ,           1.8,     0.2042948, ,           4.4,     0.5055267, ,             7,     0.8029482, ,           4.6,     0.5308292, ,           2.8,     0.3221057, ,           1.6,     0.1827226, , 
            1,     0.1167928, ,           1.6,      0.182487, ,           1.2,     0.1359384, ,             2,     0.2274405, ,           4.6,     0.5285295, ,           7.2,      0.825275, ,           4.8,     0.5539852, ,             3,     0.3454414, ,           1.8,     0.2059318, , 
          1.2,     0.1399748, ,           1.8,     0.2044942, ,           1.4,     0.1584453, ,           2.2,      0.250578, ,           4.8,     0.5516085, ,           7.4,     0.8474876, ,             5,     0.5771128, ,           3.2,     0.3688178, ,             2,     0.2292337, , 
          1.4,     0.1632147, ,             2,     0.2268575, ,           1.6,     0.1812375, ,           2.4,     0.2738114, ,             5,      0.574692, ,           7.6,      0.869613, ,           5.2,     0.6001124, ,           3.4,     0.3921829, ,           2.2,     0.2523814, , 
          1.6,     0.1862739, ,           2.2,     0.2493882, ,           1.8,     0.2041854, ,           2.6,     0.2968887, ,           5.2,     0.5977205, ,           7.8,     0.8916431, ,           5.4,     0.6229664, ,           3.6,     0.4154557, ,           2.4,     0.2756312, , 
          1.8,     0.2090096, ,           2.4,     0.2717618, ,             2,      0.227053, ,           2.8,     0.3197222, ,           5.4,     0.6206796, ,             8,     0.9136776, ,           5.6,     0.6458292, ,           3.8,     0.4386985, ,           2.8,     0.3224733, , 
            2,     0.2301192, ,           2.6,     0.2943842, ,           2.2,     0.2499871, ,             3,     0.3426348, ,           5.6,     0.6435547, ,           8.8,      1.000198, ,           5.8,     0.6687506, ,             4,     0.4619408, ,             3,     0.3458677, , 
          2.2,     0.2503673, ,           2.8,     0.3168842, ,           2.4,     0.2728892, ,           3.2,      0.365647, ,             6,     0.6888615, ,             9,       1.02152, ,             6,     0.6916837, ,           4.2,     0.4852066, ,           3.2,     0.3693016, , 
          2.4,     0.2709356, ,             3,     0.3397394, ,           2.6,     0.2959996, ,           3.4,     0.3888341, ,           6.2,     0.7115434, ,           9.2,      1.042582, ,           6.2,     0.7145722, ,           4.4,     0.5084436, ,           3.4,     0.3926575, , 
          2.6,     0.2920089, ,           3.2,     0.3622729, ,           2.8,     0.3188897, ,           3.6,     0.4118864, ,           6.4,     0.7342799, ,           9.4,      1.063253, ,           6.4,      0.737355, ,           4.6,      0.531653, ,           3.6,     0.4159395, , 
          2.8,     0.3136925, ,           3.4,     0.3846555, ,             3,     0.3415902, ,           3.8,     0.4349179, ,           6.6,     0.7569336, ,           9.6,      1.083365, ,           6.6,     0.7596784, ,             5,     0.5779219, ,           3.8,     0.4392375, , 
            3,     0.3353709, ,           3.6,     0.4073016, ,           3.2,     0.3641382, ,             4,     0.4580155, ,             7,     0.8013803, ,           9.8,      1.102499, ,             7,     0.8042899, ,           5.2,     0.6008555, ,             4,     0.4625622, , 
          3.2,     0.3571974, ,           3.8,     0.4301091, ,           3.4,      0.387104, ,           4.2,     0.4811287, ,           7.2,     0.8234642, ,            10,      1.118482, ,           7.2,     0.8266363, ,           5.4,     0.6237863, ,           4.2,      0.485879, , 
          3.6,     0.4012709, ,             4,      0.452841, ,           3.6,     0.4100889, ,           4.4,     0.5041412, ,           7.4,     0.8456804, ,          17.4,      1.458125, ,           7.4,      0.848902, ,           5.6,     0.6467658, ,           4.4,      0.509117, , 
          3.8,     0.4232995, ,           4.2,      0.475688, ,           3.8,     0.4331443, ,           4.6,     0.5270333, ,           7.6,     0.8677415, ,          17.6,      1.445191, ,           7.6,     0.8711216, ,           5.8,     0.6697741, ,           4.8,     0.5554108, , 
            4,      0.445222, ,           4.4,     0.4984301, ,           4.2,     0.4789524, ,           4.8,     0.5499312, ,           7.8,     0.8896668, ,          17.8,      1.430013, ,           7.8,     0.8933495, ,             6,     0.6927425, ,             5,     0.5785208, , 
          4.2,     0.4672887, ,           4.6,     0.5209647, ,           4.4,      0.501973, ,             5,     0.5728645, ,             8,     0.9114619, ,            18,      1.412424, ,           8.4,     0.9594686, ,           6.2,     0.7156182, ,           5.2,     0.6015192, , 
