Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
    -0.437658,   0.008722303, ,    -0.5173495,   0.007982416, ,     -0.521971,   0.007464084, ,    -0.5467251,   0.007258394, ,    -0.4797972,   0.006774185, ,    -0.1814421,   0.005600167, ,    -0.1817227,   0.005517503, ,    -0.3669731,   0.006034358, ,    -0.5281559,   0.006479731, ,    -0.5514957,   0.006480225, , 
   -0.4167956,   0.008593531, ,    -0.4951802,   0.007886729, ,    -0.4993205,   0.007395567, ,    -0.5240039,     0.0071796, ,    -0.4569754,   0.006686974, ,    -0.1352426,   0.005408851, ,    -0.1585655,   0.005436672, ,    -0.3438458,    0.00596619, ,    -0.5052789,   0.006397936, ,    -0.5286093,   0.006400938, , 
   -0.3954264,    0.00849662, ,    -0.4728698,   0.007799048, ,    -0.4765463,   0.007332556, ,    -0.5013501,    0.00707083, ,    -0.4340484,   0.006630849, ,   -0.08947237,   0.005290561, ,    -0.1354633,   0.005360342, ,    -0.3207436,   0.005892526, ,    -0.4825779,   0.006260611, ,    -0.5057093,   0.006313193, , 
   -0.3738075,   0.008378576, ,    -0.4503772,   0.007727968, ,     -0.453805,   0.007250276, ,    -0.4785862,   0.006990543, ,    -0.4110448,   0.006575431, ,   -0.06722109,   0.005436289, ,    -0.1126133,   0.005355192, ,    -0.2975534,   0.005835459, ,    -0.4365568,   0.006141781, ,    -0.4827855,   0.006233992, , 
   -0.3522786,   0.008204796, ,    -0.4277635,   0.007664888, ,    -0.4311068,    0.00716288, ,    -0.4556884,   0.006923198, ,    -0.3880903,    0.00650687, ,   -0.04497917,   0.005532424, ,   -0.09021808,   0.005477292, ,    -0.2743636,    0.00577777, ,      -0.41352,   0.006078633, ,     -0.460048,    0.00611089, , 
   -0.3094076,   0.007699958, ,    -0.4052505,   0.007564786, ,    -0.4082734,   0.007082495, ,    -0.4327701,   0.006864664, ,    -0.3651892,   0.006436964, ,   -0.02265319,   0.005493061, ,   -0.06791511,   0.005664343, ,    -0.2512195,   0.005713611, ,    -0.3905343,   0.005991107, ,    -0.4369812,   0.006053875, , 
   -0.2878284,   0.007423805, ,    -0.3826354,   0.007486416, ,    -0.3853827,   0.007023402, ,    -0.4099269,     0.0067864, ,    -0.3421797,   0.006379094, , -5.561362e-09,   0.005493889, ,   -0.04529068,   0.005737452, ,    -0.2280104,   0.005651219, ,    -0.3673991,   0.005932892, ,    -0.4138893,   0.006003359, , 
   -0.2664147,   0.007112943, ,    -0.3599226,   0.007393057, ,     -0.362584,   0.006933901, ,    -0.3870545,   0.006705465, ,    -0.3191612,   0.006309355, ,     0.0226533,   0.005493059, ,    -0.0227158,   0.005705819, ,    -0.2048951,   0.005587652, ,    -0.3442097,    0.00587125, ,    -0.3908305,   0.005915936, , 
   -0.2451917,   0.006712635, ,     -0.337295,   0.007284486, ,    -0.3397216,   0.006857742, ,    -0.3641082,   0.006650054, ,    -0.2961187,   0.006238853, ,    0.04497966,   0.005532423, , -2.443397e-10,   0.005668658, ,    -0.1819285,   0.005468355, ,    -0.3210631,   0.005800491, ,    -0.3677334,   0.005837122, , 
   -0.2241994,   0.006262203, ,     -0.314645,   0.007170847, ,    -0.3169359,   0.006773567, ,    -0.3412168,    0.00657672, ,     -0.273039,   0.006163764, ,    0.06722225,   0.005436282, ,    0.02271589,    0.00570582, ,    -0.1588605,   0.005357768, ,    -0.2979229,   0.005741052, ,    -0.3445458,   0.005784368, , 
   -0.2038864,    0.00570015, ,    -0.2921411,   0.007019237, ,    -0.2713548,   0.006587721, ,     -0.318273,   0.006508443, ,    -0.2499755,   0.006069335, ,     0.0894745,   0.005290559, ,     0.0452911,    0.00573745, ,    -0.1357879,   0.005354121, ,    -0.2746848,   0.005690823, ,    -0.3213611,   0.005729008, , 
   -0.1825903,    0.00542566, ,    -0.2698077,   0.006849679, ,     -0.248708,   0.006436765, ,    -0.2953148,   0.006437275, ,    -0.2269336,   0.005979117, ,     0.1122621,   0.005331454, ,    0.06791608,    0.00566434, ,    -0.1133724,    0.00549207, ,    -0.2515127,   0.005626163, ,    -0.2982116,   0.005659983, , 
