Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , 
    -0.555178,   0.009990437, ,    -0.4983859,   0.008392014, ,    -0.5477331,   0.007973342, ,    -0.5041013,   0.007415213, ,    -0.1813376,   0.005883543, ,    0.08915459,   0.005495141, ,    -0.1586155,   0.005631261, ,    -0.3454214,    0.00619485, ,    -0.5090813,   0.006529594, , 
   -0.5329834,    0.00989349, ,    -0.4756471,   0.008279704, ,    -0.5248958,   0.007881423, ,    -0.4810917,   0.007330019, ,    -0.1581652,    0.00577873, ,     0.1120027,    0.00553003, ,    -0.1354373,    0.00558163, ,    -0.3220877,   0.006112622, ,     -0.485846,   0.006479209, , 
   -0.5113475,   0.009704107, ,    -0.4528031,   0.008195475, ,    -0.5019312,    0.00779582, ,    -0.4579813,   0.007255424, ,     -0.135014,   0.005655688, ,     0.1351428,   0.005609019, ,    -0.1125561,   0.005600724, ,    -0.2986642,   0.006046111, ,    -0.4625315,   0.006419903, , 
   -0.4893033,   0.009566458, ,    -0.4300747,   0.008095162, ,    -0.4789136,   0.007724686, ,    -0.4348864,   0.007191806, ,    -0.1118817,   0.005552783, ,     0.1583394,   0.005691983, ,    -0.0901451,    0.00573303, ,    -0.2752753,    0.00597394, ,    -0.4392091,   0.006361695, , 
   -0.4672431,   0.009411898, ,    -0.4072701,    0.00797227, ,    -0.4560556,   0.007629191, ,    -0.4118577,   0.007097632, ,   -0.08900271,   0.005385877, ,     0.1815541,   0.005784164, ,   -0.06777588,    0.00583496, ,    -0.2521682,   0.005849689, ,    -0.4159135,   0.006296325, , 
   -0.4451805,   0.009254982, ,     -0.384627,   0.007831692, ,    -0.4331117,   0.007522849, ,    -0.3888079,    0.00701837, ,   -0.06632236,   0.005253829, ,     0.2049125,   0.005872122, ,   -0.04557731,   0.005925842, ,    -0.2289535,   0.005738342, ,    -0.3926337,   0.006215846, , 
   -0.4232619,   0.009066949, ,    -0.3622477,   0.007655139, ,    -0.4100589,   0.007440655, ,    -0.3656232,   0.006954843, ,   -0.04415748,   0.005301118, ,     0.2283071,    0.00593964, ,   -0.02279528,    0.00595551, ,    -0.2056387,   0.005668494, ,    -0.3692799,   0.006142111, , 
   -0.4012371,   0.008874699, ,     -0.339717,   0.007488893, ,    -0.3870768,   0.007363359, ,    -0.3426135,   0.006859933, ,   -0.02230791,   0.005461524, ,     0.2515793,   0.006032937, ,  1.687137e-10,    0.00595723, ,    -0.1823092,   0.005613539, ,    -0.3458479,   0.006083448, , 
   -0.3792265,   0.008705145, ,    -0.3168643,   0.007361956, ,    -0.3641136,   0.007257117, ,    -0.3197032,   0.006732865, , -1.353664e-09,   0.005502419, ,     0.2747636,   0.006146078, ,    0.02279539,   0.005955509, ,    -0.1590314,   0.005614073, ,    -0.3224555,   0.006018184, , 
   -0.3571709,    0.00847912, ,    -0.2943668,   0.007220475, ,    -0.3415686,   0.007099569, ,     -0.296872,   0.006573816, ,    0.02230807,   0.005461522, ,     0.2977702,   0.006294341, ,    0.04557777,   0.005925839, ,     -0.136128,   0.005647718, ,    -0.2991032,   0.005947954, , 
   -0.3353476,   0.008233034, ,     -0.271747,   0.007041238, ,    -0.3188708,   0.006942135, ,    -0.2737969,   0.006460954, ,     0.0441582,   0.005301115, ,      0.344378,   0.006449447, ,    0.06777708,   0.005834952, ,    -0.1135536,   0.005777047, ,    -0.2756169,   0.005892426, , 
   -0.3136727,   0.007980963, ,    -0.2493757,   0.006851037, ,    -0.2959827,   0.006836795, ,    -0.2505653,   0.006377397, ,    0.06632397,    0.00525383, ,     0.3675948,   0.006532017, ,    0.09014733,   0.005733016, ,   -0.09087291,   0.005888694, ,    -0.2523692,   0.005790384, , 
   -0.2919923,   0.007666607, ,    -0.2268471,   0.006655137, ,    -0.2728744,   0.006733639, ,    -0.2274296,   0.006261404, ,    0.08900531,    0.00538589, ,     0.3908369,   0.006610235, ,     0.1125597,   0.005600713, ,   -0.06837598,   0.006013194, ,    -0.2292231,   0.005678345, , 
   -0.2709225,   0.007255583, ,     -0.204486,   0.006435184, ,    -0.2499743,   0.006592609, ,    -0.2042855,   0.006134958, ,     0.1118855,   0.005552792, ,     0.4141444,   0.006670063, ,     0.1354423,   0.005581635, ,   -0.04578808,   0.006050585, ,    -0.2059228,   0.005618813, , 
   -0.2503576,   0.006776541, ,    -0.1824809,   0.006096976, ,    -0.2270422,   0.006459822, ,    -0.1811809,    0.00600276, ,      0.135019,   0.005655693, ,     0.4373311,    0.00672966, ,     0.1586218,    0.00563127, ,    -0.0229717,   0.006052167, ,    -0.1827152,    0.00559559, , 
   -0.2301127,   0.006231827, ,    -0.1605667,   0.005745007, ,    -0.2041764,   0.006296305, ,     -0.158178,   0.005858157, ,     0.1581715,   0.005778743, ,     0.4604544,   0.006812161, ,     0.1818762,    0.00569454, ,  3.034785e-09,   0.006073471, ,    -0.1597848,   0.005665578, , 
   -0.2090051,    0.00589657, ,    -0.1386101,   0.005405798, ,    -0.1812302,   0.006130166, ,    -0.1350918,   0.005718427, ,     0.1813454,   0.005883561, ,     0.4835245,   0.006889815, ,     0.2053313,   0.005745524, ,     0.0229718,   0.006052165, ,    -0.1368775,   0.005765734, , 
   -0.1862705,   0.005853533, ,    -0.1165433,    0.00507868, ,    -0.1584396,   0.005934694, ,     -0.112285,   0.005535745, ,     0.2045545,   0.005998342, ,     0.5066618,   0.006969801, ,     0.2286345,   0.005826542, ,    0.04578851,   0.006050584, ,   -0.09147072,   0.006001919, , 
   -0.1632123,   0.005832332, ,    -0.0939968,   0.004858385, ,    -0.1359342,   0.005687104, ,   -0.06676599,   0.005122227, ,     0.2278566,    0.00609892, ,     0.5298141,    0.00702896, ,     0.2519219,   0.005926808, ,    0.06837703,   0.006013191, ,   -0.06874711,   0.006114217, , 
    -0.139973,   0.005822808, ,   -0.07064726,   0.004819072, ,    -0.1134713,    0.00541536, ,   -0.04394924,   0.004964937, ,     0.2511699,   0.006176938, ,     0.5529388,   0.007093931, ,     0.2750375,   0.006064023, ,    0.09087489,   0.005888685, ,   -0.04601748,   0.006128089, , 
   -0.1167916,   0.005830027, ,   -0.04705459,   0.004797395, ,   -0.09085732,   0.005176983, ,   -0.02155911,   0.004865041, ,      0.274389,   0.006272736, ,     0.5990882,   0.007238566, ,     0.2982009,    0.00617283, ,     0.1135567,   0.005777034, ,   -0.02312129,   0.006115113, , 
  -0.09332707,   0.005814585, ,   -0.02351024,   0.004794703, ,   -0.06836385,   0.004912823, ,   2.93683e-11,   0.004948984, ,     0.2973464,   0.006420093, ,     0.6220294,   0.007326172, ,     0.3216147,   0.006230153, ,     0.1361326,    0.00564771, , -8.594279e-11,   0.006112455, , 
   -0.0699439,   0.005819179, ,  2.500699e-10,    0.00479639, ,   -0.04582306,   0.004674541, ,    0.02155933,   0.004865042, ,     0.3203682,    0.00655265, ,     0.6448109,    0.00744106, ,     0.3449535,    0.00630319, ,     0.1590376,   0.005614072, ,    0.02312138,   0.006115112, , 
  -0.04651069,   0.005825989, ,    0.02351029,   0.004794703, ,   -0.02311176,   0.004486409, ,    0.04394998,   0.004964939, ,     0.3668278,   0.006706896, ,     0.6675757,   0.007552168, ,     0.3682303,   0.006388756, ,     0.1823168,   0.005613541, ,    0.04601787,   0.006128088, , 
  -0.02316381,   0.005819992, ,    0.04705478,   0.004797395, ,  1.116862e-09,   0.004436639, ,    0.06676745,    0.00512223, ,     0.3899718,   0.006790412, ,     0.6903992,   0.007642623, ,     0.3916123,   0.006452325, ,     0.2056478,   0.005668503, ,    0.06874804,   0.006114211, , 
  4.35071e-09,   0.005828726, ,    0.07064767,   0.004819072, ,    0.02311185,   0.004486409, ,     0.1122885,    0.00553575, ,     0.4130979,   0.006866315, ,     0.7132441,   0.007730174, ,     0.4148955,   0.006512732, ,     0.2289642,    0.00573836, ,    0.09147248,   0.006001909, , 
   0.02316386,   0.005819991, ,    0.09399759,   0.004858386, ,    0.04582346,   0.004674543, ,     0.1350966,    0.00571844, ,     0.4363098,   0.006924523, ,     0.7360334,   0.007824142, ,     0.4380782,    0.00658948, ,     0.2521806,    0.00584972, ,     0.1143174,   0.005886228, , 
    0.0465109,   0.005825988, ,     0.1165448,   0.005078688, ,    0.06836484,   0.004912826, ,     0.1581842,   0.005858168, ,      0.459466,   0.006993632, ,     0.7586982,   0.007919732, ,     0.4612426,   0.006667844, ,     0.2752897,   0.005973971, ,     0.1368817,   0.005765731, , 
